machine = anice.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 537, cp.soft = 150, angle = 63.1019711304379, angle.soft = 89.8251344620519
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 578, cp.soft = 552, angle = 87.2476023554899, angle.soft = 88.6744526113316
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 768, cp.soft = 510, angle = 86.7511518938606, angle.soft = 88.7748599951397
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 653, cp.soft = 982, angle = 80.4588755548105, angle.soft = 89.0288720120621
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 486, cp.soft = 636, angle = 70.9661950465229, angle.soft = 89.6453113967438
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 401, cp.soft = 130, angle = 74.1443037519867, angle.soft = 89.7198458345332
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 583, cp.soft = 987, angle = 84.4001186332317, angle.soft = 88.7698781125822
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 658, cp.soft = 1181, angle = 86.5051937145845, angle.soft = 87.9849713275878
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 362, cp.soft = 1122, angle = 87.4752477106255, angle.soft = 88.1077862503597
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 459, cp.soft = 30, angle = 86.9700922418184, angle.soft = 86.288334660143
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 759, cp.soft = 404, angle = 88.8506541711978, angle.soft = 89.0398685514414
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 1107, angle = 65.568771705252, angle.soft = 88.5441685639011
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 396, cp.soft = 727, angle = 70.750050431083, angle.soft = 89.3139602414234
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 531, cp.soft = 92, angle = 70.1443552666112, angle.soft = 88.2363712455561
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 398, cp.soft = 1045, angle = 71.7815154914745, angle.soft = 86.0196786243464
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 520, cp.soft = 1001, angle = 75.6153090678979, angle.soft = 87.6488630909062
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 671, cp.soft = 401, angle = 81.4838216737836, angle.soft = 74.8297719249683
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 778, cp.soft = 33, angle = 81.2266055042583, angle.soft = 88.0369007576383
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 432, cp.soft = 772, angle = 71.1724565226335, angle.soft = 89.1830693263059
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 419, cp.soft = 389, angle = 58.690957452517, angle.soft = 88.7445484116487
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 403, cp.soft = 526, angle = 59.4209963000834, angle.soft = 89.5197624507307
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 408, cp.soft = 1001, angle = 65.1759260181178, angle.soft = 89.5831759799934
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 412, cp.soft = 1195, angle = 60.5481700325283, angle.soft = 89.53746269842
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 429, cp.soft = 2, angle = 57.5985294269614, angle.soft = 88.9892792660483
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 439, cp.soft = 1152, angle = 79.6477390018486, angle.soft = 87.567433763727
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 558, cp.soft = 984, angle = 77.4930052926769, angle.soft = 89.0003597213687
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 515, cp.soft = 389, angle = 74.9086640417339, angle.soft = 78.2261201520509
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 399, cp.soft = 397, angle = 51.5869017001799, angle.soft = 78.848204288149
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 403, cp.soft = 405, angle = 51.9862197358787, angle.soft = 62.6624908286276
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 402, cp.soft = 1198, angle = 54.9292926171378, angle.soft = 89.7634295498306
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 394, angle = 54.0007606797894, angle.soft = 70.7412097092453
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 448, cp.soft = 403, angle = 68.9617339401837, angle.soft = 68.6871323919691
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 399, cp.soft = 988, angle = 66.4467765271779, angle.soft = 87.5485152140499
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 398, cp.soft = 1178, angle = 61.762672061079, angle.soft = 67.8212968142391
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 494, cp.soft = 1198, angle = 66.4123479484771, angle.soft = 89.3963891421489
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 401, cp.soft = 263, angle = 51.3641273084446, angle.soft = 87.442141094582
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 399, cp.soft = 399, angle = 52.8286367225557, angle.soft = 73.5134389690057
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 401, cp.soft = 400, angle = 49.9249321512039, angle.soft = 72.6849495402737
machine = demeter.damtp.cam.ac.uk, n = 1200, p = 2000, k = 2000, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 392, cp.soft = 397, angle = 53.5922687219099, angle.soft = 66.2237192436867
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 563, cp.soft = 1159, angle = 90, angle.soft = 89.9854380704619
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 792, cp.soft = 1144, angle = 90, angle.soft = 89.9973839957103
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 628, cp.soft = 1133, angle = 84.2392209399911, angle.soft = 89.9876275496405
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 510, cp.soft = 334, angle = 90, angle.soft = 90
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 450, cp.soft = 1159, angle = 53.1940502981042, angle.soft = 89.9393516015949
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 439, cp.soft = 71, angle = 50.3123224495366, angle.soft = 88.5060493124818
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 1198, angle = 46.8557551464049, angle.soft = 88.1031854560756
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 415, cp.soft = 872, angle = 66.8486999047505, angle.soft = 89.9579505112993
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 413, cp.soft = 181, angle = 63.6513825947513, angle.soft = 89.930277939548
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 670, cp.soft = 240, angle = 90, angle.soft = 89.999813231003
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 406, cp.soft = 1134, angle = 43.4761440096208, angle.soft = 89.9805816445812
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 421, cp.soft = 8, angle = 51.5845217288254, angle.soft = 89.8765278245434
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 394, cp.soft = 415, angle = 24.0536757147711, angle.soft = 38.8320553136992
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 387, cp.soft = 388, angle = 24.2470258789682, angle.soft = 39.1572812145712
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 389, cp.soft = 391, angle = 19.9477584901967, angle.soft = 40.0627145094187
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 398, cp.soft = 399, angle = 21.3114170741862, angle.soft = 30.872679363807
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 398, cp.soft = 399, angle = 14.7417145841079, angle.soft = 9.05765189146789
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 391, cp.soft = 392, angle = 24.2221548977611, angle.soft = 14.4436916955668
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 460, cp.soft = 2, angle = 46.813365438363, angle.soft = 23.5634209266199
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 406, cp.soft = 1052, angle = 90, angle.soft = 90
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 394, cp.soft = 423, angle = 17.5728449900239, angle.soft = 17.3155949332428
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 401, cp.soft = 401, angle = 14.7116535565068, angle.soft = 27.3008453493731
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 405, cp.soft = 402, angle = 13.9831517163249, angle.soft = 22.3505675697249
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 397, cp.soft = 397, angle = 11.7329856536195, angle.soft = 23.5054800422184
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 583, cp.soft = 162, angle = 53.0044477219929, angle.soft = 8.13081189924042
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 882, cp.soft = 381, angle = 90, angle.soft = 90
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 421, cp.soft = 917, angle = 36.6206083331912, angle.soft = 8.48503185603562
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 418, cp.soft = 1180, angle = 20.816290049926, angle.soft = 2.91066933914933
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 399, cp.soft = 399, angle = 8.83906043470963, angle.soft = 3.61983662143396
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 380, angle = 10.9868275503488, angle.soft = 2.69599388495972
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 399, cp.soft = 410, angle = 11.4299202724395, angle.soft = 3.77437286181506
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 402, cp.soft = 416, angle = 10.4728856051159, angle.soft = 3.24642198872471
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 415, cp.soft = 1, angle = 12.0510811057562, angle.soft = 1.35603212086882
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 397, cp.soft = 382, angle = 14.2561393076631, angle.soft = 1.52708544785436
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 640, cp.soft = 114, angle = 60.1100722964376, angle.soft = 82.5074324803087
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 419, cp.soft = 983, angle = 21.6353898968805, angle.soft = 1.16858970125815
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 401, cp.soft = 538, angle = 9.70585969111881, angle.soft = 1.70477449251078
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 398, cp.soft = 154, angle = 11.1670171352433, angle.soft = 1.76209973191942
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 404, cp.soft = 405, angle = 8.1310142703236, angle.soft = 1.37267454303874
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 373, angle = 7.6527058251195, angle.soft = 1.29439260459824
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 395, cp.soft = 1007, angle = 11.57181729459, angle.soft = 0.747955589339348
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 466, cp.soft = 675, angle = 30.7219479998991, angle.soft = 2.51511478078147
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 400, cp.soft = 416, angle = 7.93114129526635, angle.soft = 0.757794229623514
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.1, q2 = 0.1, cp = 410, cp.soft = 269, angle = 16.2536642792891, angle.soft = 1.0034444504474
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 398, cp.soft = 262, angle = 5.73766900863547, angle.soft = 1.271849782789
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 286, angle = 5.12397605405406, angle.soft = 1.18812723606847
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 401, cp.soft = 440, angle = 5.37446256182468, angle.soft = 1.04498705661021
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 1, z = 400, vartheta = 3, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 443, angle = 5.07503082450111, angle.soft = 1.1945133013568
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 740, cp.soft = 1073, angle = 90, angle.soft = 89.6673865584488
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 587, cp.soft = 1199, angle = 90, angle.soft = 89.7438976189415
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 494, cp.soft = 232, angle = 90, angle.soft = 89.9894009074331
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.1, q2 = 0.1, cp = 546, cp.soft = 40, angle = 90, angle.soft = 89.9761497321352
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 555, cp.soft = 1189, angle = 81.9208060304854, angle.soft = 89.0954261069511
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 570, cp.soft = 11, angle = 86.5822315318305, angle.soft = 89.4170287030838
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 522, cp.soft = 1190, angle = 77.1441977337658, angle.soft = 89.6355906449571
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 0.5, q1 = 0.5, q2 = 0.5, cp = 463, cp.soft = 63, angle = 62.2611411214734, angle.soft = 89.0275128822403
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 552, cp.soft = 22, angle = 90, angle.soft = 89.9999591692059
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 229, cp.soft = 9, angle = 90, angle.soft = 88.7974668547313
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 558, cp.soft = 30, angle = 76.156629157638, angle.soft = 88.9421112454493
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.1, q2 = 0.1, cp = 553, cp.soft = 597, angle = 70.9750690734519, angle.soft = 89.9615681294536
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 397, cp.soft = 972, angle = 36.0782712965632, angle.soft = 89.4365323566099
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 415, cp.soft = 198, angle = 31.9433017802087, angle.soft = 89.6203184264535
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 612, angle = 37.4745412094675, angle.soft = 86.8479511073317
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 794, angle = 23.9012273565839, angle.soft = 75.7148953670671
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 409, cp.soft = 1107, angle = 66.1519986830059, angle.soft = 89.9307907256027
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 405, cp.soft = 191, angle = 41.9206082449229, angle.soft = 89.600197774968
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 484, cp.soft = 1, angle = 61.3685156233886, angle.soft = 89.9098129774508
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.1, q2 = 0.1, cp = 447, cp.soft = 1120, angle = 56.3901723710457, angle.soft = 89.9636123105622
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 402, cp.soft = 401, angle = 13.8748929892941, angle.soft = 37.1022244399378
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 390, cp.soft = 390, angle = 20.8757604019658, angle.soft = 50.6155470001218
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 402, cp.soft = 403, angle = 18.239748183401, angle.soft = 45.7557775576726
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 1.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 402, angle = 12.9002610879604, angle.soft = 49.5857077528936
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 387, cp.soft = 1159, angle = 25.0737638251009, angle.soft = 71.2220071894537
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 409, cp.soft = 1, angle = 44.4565664047992, angle.soft = 79.1985462801144
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 495, cp.soft = 542, angle = 89.2855530554786, angle.soft = 67.2534539402259
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.1, q2 = 0.1, cp = 398, cp.soft = 399, angle = 15.8571110439191, angle.soft = 20.7860168334203
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 395, angle = 9.95936426048176, angle.soft = 41.4118470211131
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 399, cp.soft = 392, angle = 13.0728092552794, angle.soft = 44.0042282065049
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 404, cp.soft = 400, angle = 18.740816094329, angle.soft = 40.1513998944898
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2, q1 = 0.5, q2 = 0.5, cp = 401, cp.soft = 416, angle = 13.5207075731313, angle.soft = 29.5980740210378
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 401, cp.soft = 398, angle = 14.3930136462356, angle.soft = 7.5117401383747
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 402, cp.soft = 393, angle = 26.9873310322322, angle.soft = 18.7144400476553
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 399, cp.soft = 694, angle = 31.8388233467948, angle.soft = 20.0209328043719
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.1, q2 = 0.1, cp = 402, cp.soft = 410, angle = 18.5325263727053, angle.soft = 40.1196202125914
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 426, angle = 11.5877171390724, angle.soft = 36.1837739113032
machine = democrates.dpmms.cam.ac.uk, n = 1200, p = 2000, k = 3, z = 400, vartheta = 2.5, q1 = 0.5, q2 = 0.5, cp = 400, cp.soft = 405, angle = 12.8010374246052, angle.soft = 30.9650294510649
